file	model
165_MAFFT_ALIGNED.fasta	LG+G
166_MAFFT_ALIGNED.fasta	LG+G
167_MAFFT_ALIGNED.fasta	LG+G
168_MAFFT_ALIGNED.fasta	LG+G
169_MAFFT_ALIGNED.fasta	LG+G
170_MAFFT_ALIGNED.fasta	LG+G
171_MAFFT_ALIGNED.fasta	LG+G
172_MAFFT_ALIGNED.fasta	LG+G
173_MAFFT_ALIGNED.fasta	LG+I+G 
174_MAFFT_ALIGNED.fasta	LG+G
175_MAFFT_ALIGNED.fasta	LG+I+G
176_MAFFT_ALIGNED.fasta	LG+G+F
177_MAFFT_ALIGNED.fasta	LG+I+G
178_MAFFT_ALIGNED.fasta	LG+G
179_MAFFT_ALIGNED.fasta	LG+G
180_MAFFT_ALIGNED.fasta	LG+G
181_MAFFT_ALIGNED.fasta	LG+G
182_MAFFT_ALIGNED.fasta	LG+G
183_MAFFT_ALIGNED.fasta	LG+I+G
184_MAFFT_ALIGNED.fasta	LG+G+F
185_MAFFT_ALIGNED.fasta	LG+G
186_MAFFT_ALIGNED.fasta	LG+G
187_MAFFT_ALIGNED.fasta	LG+G
188_MAFFT_ALIGNED.fasta	LG+G
189_MAFFT_ALIGNED.fasta	LG+I+G
191_MAFFT_ALIGNED.fasta	LG+G
192_MAFFT_ALIGNED.fasta	LG+G
193_MAFFT_ALIGNED.fasta	LG+G
194_MAFFT_ALIGNED.fasta	LG+G
195_MAFFT_ALIGNED.fasta	LG+G+F
196_MAFFT_ALIGNED.fasta	LG+G
197_MAFFT_ALIGNED.fasta	LG+G
198_MAFFT_ALIGNED.fasta	LG+G
199_MAFFT_ALIGNED.fasta	LG+G
200_MAFFT_ALIGNED.fasta	LG+G
201_MAFFT_ALIGNED.fasta	LG+I+G
202_MAFFT_ALIGNED.fasta	LG+G
203_MAFFT_ALIGNED.fasta	LG+G
204_MAFFT_ALIGNED.fasta	LG+G
205_MAFFT_ALIGNED.fasta	LG+G
206_MAFFT_ALIGNED.fasta	LG+G
207_MAFFT_ALIGNED.fasta	WAG+G
208_MAFFT_ALIGNED.fasta	LG+G
209_MAFFT_ALIGNED.fasta	LG+G
210_MAFFT_ALIGNED.fasta	LG+G
211_MAFFT_ALIGNED.fasta	JTT+G
212_MAFFT_ALIGNED.fasta	DCMut+G
213_MAFFT_ALIGNED.fasta	LG+G
214_MAFFT_ALIGNED.fasta	LG+G
215_MAFFT_ALIGNED.fasta	LG+G
216_MAFFT_ALIGNED.fasta	LG+G
217_MAFFT_ALIGNED.fasta	LG+G
218_MAFFT_ALIGNED.fasta	JTT+G
219_MAFFT_ALIGNED.fasta	LG+G
220_MAFFT_ALIGNED.fasta	LG+G
221_MAFFT_ALIGNED.fasta	LG+G
222_MAFFT_ALIGNED.fasta	LG+I+G
223_MAFFT_ALIGNED.fasta	LG+G
224_MAFFT_ALIGNED.fasta	LG+G
225_MAFFT_ALIGNED.fasta	LG+G
226_MAFFT_ALIGNED.fasta	LG+I+G
227_MAFFT_ALIGNED.fasta	LG+G
228_MAFFT_ALIGNED.fasta	LG+I+G
229_MAFFT_ALIGNED.fasta	LG+G
230_MAFFT_ALIGNED.fasta	LG+G
231_MAFFT_ALIGNED.fasta	LG+G
232_MAFFT_ALIGNED.fasta	LG+G
233_MAFFT_ALIGNED.fasta	LG+G
234_MAFFT_ALIGNED.fasta	LG+G+F
235_MAFFT_ALIGNED.fasta	LG+G
236_MAFFT_ALIGNED.fasta	LG+G+F
237_MAFFT_ALIGNED.fasta	LG+I+G+F
239_MAFFT_ALIGNED.fasta	LG+G
240_MAFFT_ALIGNED.fasta	LG+G
242_MAFFT_ALIGNED.fasta	LG+G
243_MAFFT_ALIGNED.fasta	LG+I+G
244_MAFFT_ALIGNED.fasta	LG+G+F
245_MAFFT_ALIGNED.fasta	LG+G+F
246_MAFFT_ALIGNED.fasta	LG+I+G
247_MAFFT_ALIGNED.fasta	LG+G
248_MAFFT_ALIGNED.fasta	LG+G
249_MAFFT_ALIGNED.fasta	LG+G
251_MAFFT_ALIGNED.fasta	LG+I+G
252_MAFFT_ALIGNED.fasta	LG+G
253_MAFFT_ALIGNED.fasta	LG+G
255_MAFFT_ALIGNED.fasta	LG+G
256_MAFFT_ALIGNED.fasta	LG+G
257_MAFFT_ALIGNED.fasta	LG+G
258_MAFFT_ALIGNED.fasta	LG+G
259_MAFFT_ALIGNED.fasta	LG+G
260_MAFFT_ALIGNED.fasta	LG+G
261_MAFFT_ALIGNED.fasta	LG+I+G
262_MAFFT_ALIGNED.fasta	LG+G
263_MAFFT_ALIGNED.fasta	LG+G
264_MAFFT_ALIGNED.fasta	LG+G
265_MAFFT_ALIGNED.fasta	LG+G
266_MAFFT_ALIGNED.fasta	LG+G+F
268_MAFFT_ALIGNED.fasta	LG+G+F
269_MAFFT_ALIGNED.fasta	LG+I+G
270_MAFFT_ALIGNED.fasta	LG+G
271_MAFFT_ALIGNED.fasta	LG+G+F
272_MAFFT_ALIGNED.fasta	LG+G
273_MAFFT_ALIGNED.fasta	LG+G
274_MAFFT_ALIGNED.fasta	LG+I+G
275_MAFFT_ALIGNED.fasta	LG+I+G
276_MAFFT_ALIGNED.fasta	LG+I+G
277_MAFFT_ALIGNED.fasta	LG+G
278_MAFFT_ALIGNED.fasta	LG+I+G
279_MAFFT_ALIGNED.fasta	LG+I+G+F
280_MAFFT_ALIGNED.fasta	LG+I+G
282_MAFFT_ALIGNED.fasta	LG+I+G+F
283_MAFFT_ALIGNED.fasta	LG+G
284_MAFFT_ALIGNED.fasta	LG+G+F
285_MAFFT_ALIGNED.fasta	LG+I+G
286_MAFFT_ALIGNED.fasta	LG+G
288_MAFFT_ALIGNED.fasta	LG+I+G
289_MAFFT_ALIGNED.fasta	JTT+G
291_MAFFT_ALIGNED.fasta	LG+I+G+F
292_MAFFT_ALIGNED.fasta	LG+G
293_MAFFT_ALIGNED.fasta	LG+I+G
294_MAFFT_ALIGNED.fasta	LG+G
295_MAFFT_ALIGNED.fasta	LG+G
296_MAFFT_ALIGNED.fasta	LG+G
297_MAFFT_ALIGNED.fasta	LG+I+G
298_MAFFT_ALIGNED.fasta	LG+G
299_MAFFT_ALIGNED.fasta	LG+I+G
300_MAFFT_ALIGNED.fasta	LG+I+G+F
301_MAFFT_ALIGNED.fasta	LG+I+G+F
302_MAFFT_ALIGNED.fasta	LG+G
303_MAFFT_ALIGNED.fasta	LG+G
304_MAFFT_ALIGNED.fasta	LG+G
305_MAFFT_ALIGNED.fasta	LG+G
306_MAFFT_ALIGNED.fasta	LG+G
